id,true_0,score_0,score_1,score_2,score_3,score_4
55,2.0,0.0791594,0.14401646,0.23870052,0.2744864,0.26363724
56,2.0,0.079480834,0.14300735,0.24049382,0.2728653,0.2641527
57,0.0,0.08046967,0.14189407,0.23704161,0.28058732,0.26000732
58,0.0,0.07823899,0.14502358,0.23675305,0.27823865,0.26174575
59,0.0,0.0805355,0.1439397,0.2383225,0.27063367,0.26656866
60,2.0,0.07940434,0.14481051,0.2357327,0.27420917,0.2658432
61,0.0,0.08261103,0.1389299,0.24191746,0.2754072,0.26113442
62,0.0,0.08457573,0.13529891,0.24524407,0.27448073,0.26040053
63,0.0,0.08418665,0.13682137,0.24454737,0.27250403,0.26194054
64,3.0,0.07936546,0.14540899,0.23647954,0.27332208,0.26542392
65,0.0,0.083708815,0.13810869,0.23967828,0.28055492,0.2579493
66,3.0,0.07740629,0.14524166,0.23705234,0.27587262,0.26442707
67,0.0,0.07844542,0.1411046,0.2310114,0.29223,0.25720856
68,2.0,0.08013221,0.14376275,0.23854893,0.27335823,0.2641979
69,0.0,0.07804404,0.14461553,0.23688509,0.27669302,0.26376238
70,4.0,0.08119649,0.14292732,0.23836665,0.27264914,0.26486042
71,3.0,0.0776243,0.14459698,0.23880033,0.2750742,0.26390418
72,1.0,0.08165392,0.13907395,0.23562902,0.28504568,0.25859734
73,0.0,0.07946782,0.14481187,0.23754159,0.273029,0.2651497
74,0.0,0.083293185,0.13932198,0.2400941,0.27614325,0.2611474
75,0.0,0.08136865,0.14055423,0.23959137,0.27589977,0.26258597
76,1.0,0.082826905,0.13898762,0.239726,0.28038508,0.2580743
77,0.0,0.08012112,0.14252424,0.23572233,0.27858624,0.26304606
78,3.0,0.07829456,0.1444347,0.23651251,0.27918443,0.26157376
79,3.0,0.079041116,0.14455943,0.23739171,0.2747216,0.26428616
80,1.0,0.077743605,0.14555141,0.23929746,0.2762787,0.26112878
81,2.0,0.07771483,0.1408658,0.23101126,0.292702,0.25770614
82,0.0,0.08441989,0.13766332,0.24057014,0.2766568,0.26068982
83,2.0,0.07865732,0.14397322,0.23571432,0.28023958,0.26141554
84,0.0,0.08449455,0.13457458,0.24846445,0.2717543,0.26071212
85,3.0,0.07709759,0.14426985,0.2338498,0.28459328,0.26018947
86,0.0,0.08221735,0.1436311,0.242084,0.27491975,0.25714782
87,3.0,0.07882352,0.14492555,0.23178326,0.2843238,0.26014382
88,0.0,0.0783531,0.1450364,0.23847806,0.27373588,0.26439655
89,4.0,0.0779284,0.14462659,0.23772946,0.27526987,0.26444575
90,2.0,0.07773723,0.14489271,0.23789687,0.27561462,0.26385856
91,1.0,0.07882627,0.1444112,0.23778161,0.27636167,0.26261923
92,0.0,0.08065451,0.14389147,0.23778825,0.2715061,0.26615965
93,0.0,0.081112295,0.14146216,0.2356287,0.28004548,0.2617513
94,0.0,0.08039216,0.14320831,0.23954783,0.27064824,0.26620346
95,1.0,0.0803492,0.1440553,0.2381056,0.2696449,0.26784497
96,0.0,0.07843377,0.14623888,0.23818979,0.2724849,0.26465267
97,3.0,0.07860813,0.14401986,0.23760068,0.27600113,0.26377016
98,2.0,0.080363356,0.1426593,0.24065393,0.2706436,0.26567984
99,0.0,0.083809644,0.13929074,0.24092455,0.27402344,0.26195166
100,3.0,0.082939036,0.13810796,0.24418293,0.27487084,0.2598992
101,4.0,0.080045275,0.14399289,0.2366603,0.27464837,0.26465318
102,2.0,0.07822785,0.14456898,0.23736669,0.27560586,0.26423064
103,2.0,0.07886746,0.1445965,0.23873746,0.27388018,0.26391843
104,3.0,0.079885714,0.14384174,0.24019663,0.27037162,0.2657043
105,2.0,0.078743696,0.1440625,0.2397489,0.27283555,0.2646094
106,2.0,0.07760542,0.14469847,0.23681578,0.28206387,0.25881636
107,4.0,0.07943219,0.14385608,0.2378891,0.27404416,0.26477844
